ParcelID
06 -0310-  LL-071-4
06 -0310-  LL-072-2
06 -0310-  LL-074-8
06 -0310-  LL-078-9
06 -0311-0007-026-9
06 -0311-0007-037-6
06 -0313-  LL-033-1
06 -0336-  LL-012-8
06 -0336-  LL-082-1
06 -0336-  LL-094-6
06 -0336-  LL-095-3
06 -0336-0001-005-0
06 -0336-0004-013-1
06 -0336-0005-054-4
06 -0337-0001-035-6
06 -0337-0001-043-0
06 -0337-0003-005-7
06 -0337-0003-026-3
06 -0338-  LL-074-6
06 -0338-0004-024-6
06 -0339-  LL-007-5
06 -0342-0005-021-5
06 -0343-  LL-038-4
06 -0344-  LL-061-5
06 -0344-  LL-085-4
06 -0350-0001-002-8
06 -0350-0002-016-7
06 -0352-0002-027-2
06 -0352-0003-017-2
06 -0352-0004-013-0
06 -0356-  LL-085-9
06 -0357-  LL-048-6
06 -0357-0004-013-5
06 -0357-0004-014-3
06 -0358-  LL-082-4
06 -0359-  LL-017-9
06 -0360-0001-042-2
06 -0363-0001-096-5
06 -0363-0001-122-9
06 -0363-0001-124-5
06 -0363-0004-005-3
06 -0363-0004-028-5
06 -0363-0008-001-8
06 -0363-0008-021-6
06 -0364-  LL-114-7
06 -0364-0001-004-8
06 -0364-0003-091-3
06 -0365-0001-009-6
06 -0365-0001-027-8
06 -0365-0002-038-4
06 -0366-  LL-037-8
06 -0366-  LL-044-4
06 -0366-  LL-045-1
06 -0366-0002-044-1
06 -0367-0001-033-4
06 -0367-0003-009-2
06 -0367-0003-042-3
06 -0367-0003-066-2
06 -0367-0003-122-3
06 -0367-0003-125-6
06 -0367-0003-154-6
06 -0367-0004-009-1
06 -0367-0004-012-5
06 -0367-0004-034-9
06 -0367-0004-054-7
06 -0367-0004-086-9
06 -0367-0004-087-7
06 -0367-0004-105-7
06 -0367-0004-109-9
06 -0367-0004-140-4
06 -0367-0004-156-0
06 -0367-0004-172-7
06 -0367-0004-173-5
06 -0367-0004-178-4
06 -0367-0004-202-2
06 -0368-  LL-150-7
06 -0368-0007-003-0
